,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
55,73,0.509,0.84,5,-4.984,0,0.0441,0.0311,0.000169,0.0969,0.336,149.907,197354,4
56,65,0.803,0.93,11,-3.077,1,0.0704,0.208,3.4e-05,0.36,0.941,127.956,104524,4
57,51,0.503,0.532,6,-8.931,1,0.0504,0.911,0.198,0.115,0.25,126.304,69408,4
58,47,0.828,0.449,3,-11.712,1,0.181,0.411,0.0048,0.103,0.48,99.965,93780,4
59,70,0.687,0.453,8,-8.102,1,0.0559,0.578,0.0,0.246,0.527,95.141,207340,4
60,56,0.646,0.76,11,-5.728,1,0.0609,0.0575,0.00108,0.233,0.849,156.035,198021,4
61,63,0.773,0.574,4,-13.598,1,0.121,0.834,0.792,0.314,0.692,151.318,136281,4
62,57,0.722,0.537,9,-8.555,1,0.0338,0.545,0.616,0.0904,0.113,96.513,82129,4
63,28,0.635,0.364,9,-11.99,0,0.0433,0.935,0.726,0.123,0.339,121.978,79672,4
64,36,0.806,0.498,8,-10.547,1,0.0726,0.91,0.43,0.111,0.237,100.813,69033,4
65,53,0.912,0.12,10,-14.26,0,0.0412,0.52,0.725,0.143,0.26,130.007,74779,4
67,66,0.331,0.0451,9,-24.527,0,0.0337,0.908,0.931,0.0893,0.0381,95.954,243209,3
69,49,0.347,0.0213,9,-24.608,0,0.0356,0.97,0.926,0.0803,0.0385,96.101,229146,3
74,77,0.716,0.537,0,-7.648,0,0.0514,0.233,0.0,0.157,0.28,129.979,165978,4
75,76,0.876,0.786,10,-4.884,0,0.306,0.0627,0.0,0.127,0.575,153.068,244679,4
76,60,0.77,0.606,4,-8.273,0,0.306,0.0833,1.09e-06,0.0947,0.463,160.022,114840,4
77,84,0.538,0.557,11,-8.678,1,0.0914,0.262,0.914,0.102,0.506,131.03,231724,4
79,71,0.743,0.685,4,-6.863,1,0.0975,0.0664,6.75e-05,0.0884,0.443,109.988,274320,4
80,69,0.728,0.559,4,-11.18,0,0.046,0.246,0.298,0.293,0.489,110.423,165333,5
82,34,0.741,0.895,4,-3.46,0,0.0488,0.124,0.0,0.0775,0.5,150.039,180800,4
83,0,0.217,0.104,9,-23.522,1,0.0494,0.934,0.892,0.0862,0.0639,168.134,395053,3
84,44,0.627,0.643,3,-8.702,1,0.0342,0.456,0.0,0.159,0.64,77.993,213913,4
85,58,0.713,0.93,7,-6.567,1,0.0783,0.053,0.858,0.0669,0.594,160.046,240000,4
86,27,0.16,0.248,2,-13.548,1,0.0329,0.791,0.655,0.0904,0.26,186.698,226480,3
87,71,0.466,0.703,4,-5.774,0,0.393,0.18,0.0,0.422,0.25,76.815,356389,3
88,86,0.809,0.463,11,-11.377,1,0.0396,0.256,0.085,0.109,0.364,111.98,298941,4
89,21,0.701,0.709,8,-6.542,1,0.251,0.335,0.0,0.165,0.198,137.9,189565,4
90,72,0.681,0.521,0,-5.849,1,0.141,0.12,8.41e-05,0.108,0.181,94.997,229747,4
91,64,0.832,0.469,10,-9.141,0,0.339,0.0807,8.26e-06,0.207,0.197,97.023,238321,4
92,44,0.477,0.516,0,-6.566,1,0.0259,0.436,0.000156,0.12,0.252,139.999,240067,4
93,27,0.59,0.593,5,-14.809,0,0.0306,0.343,0.432,0.337,0.717,99.034,276573,3
94,13,0.811,0.724,11,-6.54,1,0.0628,0.0622,0.00176,0.17,0.0832,99.995,115193,4
95,52,0.873,0.924,10,-2.316,1,0.0675,0.00515,0.369,0.0997,0.537,125.989,141429,4
96,41,0.682,0.755,4,-4.436,1,0.0488,0.229,0.0,0.0966,0.197,95.998,238027,4
97,46,0.789,0.941,6,-3.325,1,0.041,0.00899,0.881,0.0754,0.616,127.998,139687,4
98,48,0.826,0.944,1,-4.604,0,0.0448,0.0196,0.452,0.139,0.321,126.016,146667,4
